==================================================
Watchdog start: Sat May 16 07:22:48 PM CST 2026
Run dir: /home/xue/GOODRL/runs/20260516_pointer_full
Args: --vm_types 5 --each_vm_type_num 5 --arr_rate 5.4 --lr_a 0.0001 --lr_c 0.001 --warmup_critic 500 --max_updates 1000 --grad_control 0 --algo_seed 3 --entloss_coef 0.01 --actor_pointer 1 --actor_atten_layers 0 --checkpoint_interval 50
==================================================
[Sat May 16 07:22:48 PM CST 2026] === Attempt 1: starting fresh ===
Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.006689
Episode-70: ep_meanFlowTime: 2123.178247	 all_loss: 13.623124	 p_loss: 2.085343	 e_loss: 0.925564	 v_loss: 27.246248	 v_mre: 101.425865	 grad_changes: 0.000000	 time_elapsed: 1.0789
Episode-71: ep_meanFlowTime: 3295.950896	 all_loss: 16.385676	 p_loss: 1.769350	 e_loss: 1.050867	 v_loss: 32.771352	 v_mre: 423.974762	 grad_changes: 0.000000	 time_elapsed: 1.0994
Episode-72: ep_meanFlowTime: 3398.348968	 all_loss: 21.893785	 p_loss: -2.208291	 e_loss: 0.972977	 v_loss: 43.787569	 v_mre: 67.062305	 grad_changes: 0.000000	 time_elapsed: 1.1191
Episode-73: ep_meanFlowTime: 1361.631892	 all_loss: 3.939184	 p_loss: 0.672738	 e_loss: 0.916199	 v_loss: 7.878368	 v_mre: 250.949428	 grad_changes: 0.000000	 time_elapsed: 1.1307
Episode-74: ep_meanFlowTime: 1277.505856	 all_loss: 3.201770	 p_loss: 0.590811	 e_loss: 0.978064	 v_loss: 6.403539	 v_mre: 58.703937	 grad_changes: 0.000000	 time_elapsed: 1.1411
Episode-75: ep_meanFlowTime: 1863.663686	 all_loss: 3.765218	 p_loss: -1.446305	 e_loss: 0.966398	 v_loss: 7.530436	 v_mre: 53.109660	 grad_changes: 0.000000	 time_elapsed: 1.1542
Episode-76: ep_meanFlowTime: 1096.221321	 all_loss: 1.463927	 p_loss: 0.584843	 e_loss: 0.884810	 v_loss: 2.927854	 v_mre: 67.846201	 grad_changes: 0.000000	 time_elapsed: 1.1629
Episode-77: ep_meanFlowTime: 1995.331427	 all_loss: 5.236677	 p_loss: -2.500351	 e_loss: 0.889929	 v_loss: 10.472907	 v_mre: 51.558841	 grad_changes: 0.000136	 time_elapsed: 1.1749
Episode-78: ep_meanFlowTime: 2083.395174	 all_loss: 6.415876	 p_loss: 2.141806	 e_loss: 0.813073	 v_loss: 12.831679	 v_mre: 48.757416	 grad_changes: 0.000578	 time_elapsed: 1.1894
Episode-79: ep_meanFlowTime: 3785.195529	 all_loss: 23.280154	 p_loss: -6.782175	 e_loss: 0.876400	 v_loss: 46.559863	 v_mre: 49.099120	 grad_changes: 0.000202	 time_elapsed: 1.2087
Episode-80: ep_meanFlowTime: 4259.260430	 all_loss: 28.830531	 p_loss: 4.076100	 e_loss: 0.762026	 v_loss: 57.661270	 v_mre: 43.176519	 grad_changes: 0.000077	 time_elapsed: 1.2307
Vlidation at update-80: mean_flowtime_deterministic: 7800.781706+/-3197.497745	 mean_Entropy: 0.677229+/-0.034920	 record: 464.320644	 time_elapsed: 1.2620
Episode-81: ep_meanFlowTime: 932.355902	 all_loss: 3.584240	 p_loss: 1.563705	 e_loss: 0.856683	 v_loss: 7.168479	 v_mre: 160.493979	 grad_changes: 0.000000	 time_elapsed: 1.2715
Episode-82: ep_meanFlowTime: 2886.755411	 all_loss: 17.203300	 p_loss: -6.720904	 e_loss: 0.948881	 v_loss: 34.406600	 v_mre: 74.099419	 grad_changes: 0.000000	 time_elapsed: 1.2908
Episode-83: ep_meanFlowTime: 2973.201425	 all_loss: 8.833505	 p_loss: -1.057726	 e_loss: 0.866646	 v_loss: 17.667146	 v_mre: 47.402122	 grad_changes: 0.000076	 time_elapsed: 1.3073
Episode-84: ep_meanFlowTime: 1851.843351	 all_loss: 4.233072	 p_loss: 2.508648	 e_loss: 0.983732	 v_loss: 8.466145	 v_mre: 45.388499	 grad_changes: 0.000000	 time_elapsed: 1.3196
Episode-85: ep_meanFlowTime: 1141.549448	 all_loss: 2.373479	 p_loss: 3.454028	 e_loss: 0.936624	 v_loss: 4.746503	 v_mre: 308.019410	 grad_changes: 0.000116	 time_elapsed: 1.3290
Episode-86: ep_meanFlowTime: 3891.442773	 all_loss: 27.268173	 p_loss: -10.079950	 e_loss: 0.832334	 v_loss: 54.536346	 v_mre: 52.269476	 grad_changes: 0.000000	 time_elapsed: 1.3488
Episode-87: ep_meanFlowTime: 2547.749962	 all_loss: 26.067316	 p_loss: 1.576717	 e_loss: 0.861956	 v_loss: 52.134631	 v_mre: 120.125757	 grad_changes: 0.000000	 time_elapsed: 1.3632
Episode-88: ep_meanFlowTime: 1293.660373	 all_loss: 4.659292	 p_loss: 4.578524	 e_loss: 0.865099	 v_loss: 9.318585	 v_mre: 385.011844	 grad_changes: 0.000000	 time_elapsed: 1.3728
Episode-89: ep_meanFlowTime: 2696.965643	 all_loss: 31.298044	 p_loss: -4.922290	 e_loss: 0.858989	 v_loss: 62.596087	 v_mre: 91.050571	 grad_changes: 0.000000	 time_elapsed: 1.3873
Episode-90: ep_meanFlowTime: 2771.393173	 all_loss: 12.684892	 p_loss: -0.848229	 e_loss: 0.842176	 v_loss: 25.369785	 v_mre: 56.280912	 grad_changes: 0.000000	 time_elapsed: 1.4039
Episode-91: ep_meanFlowTime: 1633.327027	 all_loss: 4.222676	 p_loss: 3.204286	 e_loss: 0.847924	 v_loss: 8.445353	 v_mre: 53.793540	 grad_changes: 0.000000	 time_elapsed: 1.4146
Episode-92: ep_meanFlowTime: 2953.216869	 all_loss: 27.701656	 p_loss: -4.286626	 e_loss: 0.927557	 v_loss: 55.403313	 v_mre: 99.947573	 grad_changes: 0.000000	 time_elapsed: 1.4409
Episode-93: ep_meanFlowTime: 2043.311911	 all_loss: 8.095156	 p_loss: 3.588418	 e_loss: 0.814181	 v_loss: 16.190312	 v_mre: 57.462752	 grad_changes: 0.000000	 time_elapsed: 1.4537
Episode-94: ep_meanFlowTime: 1606.114511	 all_loss: 2.485792	 p_loss: 1.248329	 e_loss: 0.862404	 v_loss: 4.971585	 v_mre: 68.282498	 grad_changes: 0.000000	 time_elapsed: 1.4647
Episode-95: ep_meanFlowTime: 1492.748931	 all_loss: 3.804303	 p_loss: -0.539088	 e_loss: 0.809317	 v_loss: 7.608607	 v_mre: 64.731076	 grad_changes: 0.000000	 time_elapsed: 1.4752
Episode-96: ep_meanFlowTime: 2446.689984	 all_loss: 6.596664	 p_loss: -1.955963	 e_loss: 0.821051	 v_loss: 13.193328	 v_mre: 36.812915	 grad_changes: 0.000000	 time_elapsed: 1.4889
Episode-97: ep_meanFlowTime: 4508.465436	 all_loss: 45.625379	 p_loss: -5.680858	 e_loss: 0.994060	 v_loss: 91.250758	 v_mre: 58.248105	 grad_changes: 0.000000	 time_elapsed: 1.5186
Episode-98: ep_meanFlowTime: 1712.999731	 all_loss: 7.201275	 p_loss: 6.552601	 e_loss: 0.832998	 v_loss: 14.402550	 v_mre: 105.061852	 grad_changes: 0.000000	 time_elapsed: 1.5309
