episode,ep_meanFlowTime,all_loss,p_loss,e_loss,v_loss,v_mre,grad_changes,time_elapsed_h
276,490.30071,0.240715,-0.170475,1.258613,0.14048,18.714351,0.033315,7.2883
277,318.376825,-0.033771,0.101967,1.276776,0.136391,37.3875,0.024269,7.3076
278,432.880689,0.253327,-0.202589,1.298546,0.101475,19.785735,0.028063,7.3274
279,433.767467,-0.102847,0.236564,1.265915,0.267433,38.400893,0.039634,7.3468
280,364.30464,-0.038298,0.095239,1.28139,0.113882,71.748817,0.027578,7.3665
281,522.001964,0.486516,-0.386401,1.376902,0.200229,68.024998,0.046604,7.5016
282,573.671883,-0.041126,0.333597,1.336338,0.584942,29.981207,0.063991,7.5257
283,489.530178,0.168007,-0.026622,1.351729,0.28277,142.917943,0.043338,7.5473
284,365.871918,0.192211,-0.132856,1.413974,0.11871,180.649263,0.024608,7.5668
285,400.343048,-0.117405,0.168802,1.346779,0.102794,22.357124,0.022272,7.5872
286,517.847767,0.380184,-0.252602,1.344999,0.255165,47.266182,0.047155,7.6096
287,280.29819,-0.307787,0.373601,1.319625,0.131627,34.411864,0.033795,7.6297
288,430.278048,0.487644,-0.40786,1.374305,0.159567,190.759358,0.035349,7.6502
289,404.867128,-0.030467,0.131449,1.342129,0.201964,32.74911,0.035244,7.6728
290,458.893138,-0.043762,0.104234,1.306153,0.120943,15.574769,0.026882,7.6932
291,369.48233,0.285526,-0.23248,1.36481,0.106092,25.924342,0.031708,7.7134
292,412.07526,-0.137073,0.242519,1.276576,0.210893,174.876647,0.034193,7.735
293,388.841539,0.308031,-0.237699,1.279798,0.140663,29.264184,0.031361,7.755
294,366.27436,0.174256,-0.078035,1.261615,0.192442,31.956279,0.033133,7.7749
295,416.316659,0.05386,0.007629,1.291437,0.122978,21.502636,0.021424,7.7955
296,270.59997,-0.19281,0.238019,1.202428,0.090419,38.836476,0.024099,7.8146
297,527.241964,0.924816,-0.742701,1.306433,0.364228,31.955238,0.081676,7.8348
298,483.895275,-0.050956,0.161166,1.366532,0.22042,26.675644,0.033864,7.8564
299,396.800892,0.064274,0.052778,1.352678,0.234103,44.096397,0.03168,7.8761
300,452.969931,0.080677,-0.022434,1.275759,0.116484,20.200563,0.027736,7.8949
301,559.998542,0.191567,-0.115017,1.350965,0.153101,18.212541,0.041721,8.0286
302,492.36188,-0.03433,0.212618,1.285842,0.356576,30.687744,0.0389,8.049
303,395.142152,-0.095374,0.158664,1.229309,0.12658,170.015656,0.031321,8.0688
304,405.138817,0.285084,-0.199759,1.210965,0.17065,61.899432,0.039262,8.0894
305,415.842471,0.097278,-0.035823,1.245208,0.12291,22.96658,0.024511,8.108
306,530.14569,0.497787,-0.219177,1.214012,0.557219,31.741183,0.154231,8.1292
